Threshold,Precision,Recall,F1-Score
0.0,0.8984375,0.8984375,0.8984375
0.01,0.9126984126984127,0.8984375,0.905511811023622
0.02,0.92,0.8984375,0.9090909090909091
0.03,0.926829268292683,0.890625,0.9083665338645418
0.04,0.9262295081967213,0.8828125,0.904
0.05,0.9262295081967213,0.8828125,0.904
0.06,0.9338842975206612,0.8828125,0.9076305220883534
0.07,0.9411764705882353,0.875,0.9068825910931174
0.08,0.9411764705882353,0.875,0.9068825910931174
0.09,0.9411764705882353,0.875,0.9068825910931174
0.1,0.9487179487179487,0.8671875,0.9061224489795918
0.11,0.9487179487179487,0.8671875,0.9061224489795918
0.12,0.9487179487179487,0.8671875,0.9061224489795918
0.13,0.9487179487179487,0.8671875,0.9061224489795918
0.14,0.9482758620689655,0.859375,0.9016393442622951
0.15,0.9482758620689655,0.859375,0.9016393442622951
0.16,0.9478260869565217,0.8515625,0.897119341563786
0.17,0.9478260869565217,0.8515625,0.897119341563786
0.18,0.9478260869565217,0.8515625,0.897119341563786
0.19,0.9478260869565217,0.8515625,0.897119341563786
0.2,0.956140350877193,0.8515625,0.9008264462809917
0.21,0.9642857142857143,0.84375,0.9
0.22,0.963963963963964,0.8359375,0.895397489539749
0.23,0.9629629629629629,0.8125,0.8813559322033898
0.24,0.9626168224299065,0.8046875,0.8765957446808511
0.25,0.9714285714285714,0.796875,0.8755364806866953
0.26,0.9711538461538461,0.7890625,0.8706896551724138
0.27,0.9711538461538461,0.7890625,0.8706896551724138
0.28,0.9711538461538461,0.7890625,0.8706896551724138
0.29,0.970873786407767,0.78125,0.8658008658008658
0.3,0.970873786407767,0.78125,0.8658008658008658
0.31,0.970873786407767,0.78125,0.8658008658008658
0.32,0.9702970297029703,0.765625,0.8558951965065502
0.33,0.97,0.7578125,0.8508771929824561
0.34,0.97,0.7578125,0.8508771929824561
0.35000000000000003,0.9795918367346939,0.75,0.8495575221238938
0.36,0.979381443298969,0.7421875,0.8444444444444444
0.37,0.979381443298969,0.7421875,0.8444444444444444
0.38,0.9787234042553191,0.71875,0.8288288288288288
0.39,0.9787234042553191,0.71875,0.8288288288288288
0.4,0.978021978021978,0.6953125,0.8127853881278538
0.41000000000000003,0.9772727272727273,0.671875,0.7962962962962963
0.42,0.9880952380952381,0.6484375,0.7830188679245284
0.43,0.9879518072289156,0.640625,0.7772511848341233
0.44,0.9873417721518988,0.609375,0.7536231884057971
0.45,0.9873417721518988,0.609375,0.7536231884057971
0.46,0.9871794871794872,0.6015625,0.7475728155339806
0.47000000000000003,0.9866666666666667,0.578125,0.729064039408867
0.48,0.9864864864864865,0.5703125,0.7227722772277227
0.49,0.9857142857142858,0.5390625,0.696969696969697
0.5,0.9855072463768116,0.53125,0.6903553299492385
0.51,0.9850746268656716,0.515625,0.676923076923077
0.52,0.9841269841269841,0.484375,0.6492146596858639
0.53,0.9830508474576272,0.453125,0.6203208556149733
0.54,0.9827586206896551,0.4453125,0.6129032258064516
0.55,0.9824561403508771,0.4375,0.6054054054054054
0.56,0.9818181818181818,0.421875,0.5901639344262295
0.5700000000000001,0.9814814814814815,0.4140625,0.5824175824175825
0.58,0.9791666666666666,0.3671875,0.5340909090909091
0.59,0.9777777777777777,0.34375,0.5086705202312138
0.6,0.975,0.3046875,0.4642857142857143
0.61,0.975,0.3046875,0.4642857142857143
0.62,0.972972972972973,0.28125,0.43636363636363634
0.63,0.9714285714285714,0.265625,0.4171779141104294
0.64,0.967741935483871,0.234375,0.37735849056603776
0.65,0.967741935483871,0.234375,0.37735849056603776
0.66,0.9666666666666667,0.2265625,0.3670886075949367
0.67,0.9629629629629629,0.203125,0.33548387096774196
0.68,0.96,0.1875,0.3137254901960784
0.6900000000000001,0.96,0.1875,0.3137254901960784
0.7000000000000001,0.9583333333333334,0.1796875,0.3026315789473684
0.71,0.9545454545454546,0.1640625,0.28
0.72,0.9523809523809523,0.15625,0.2684563758389262
0.73,0.9473684210526315,0.140625,0.24489795918367346
0.74,0.9444444444444444,0.1328125,0.2328767123287671
0.75,0.9411764705882353,0.125,0.2206896551724138
0.76,0.9375,0.1171875,0.20833333333333334
0.77,0.9375,0.1171875,0.20833333333333334
0.78,0.9333333333333333,0.109375,0.1958041958041958
0.79,0.9090909090909091,0.078125,0.14388489208633093
0.8,0.8888888888888888,0.0625,0.11678832116788321
0.81,0.875,0.0546875,0.10294117647058823
0.8200000000000001,0.875,0.0546875,0.10294117647058823
0.8300000000000001,0.875,0.0546875,0.10294117647058823
0.84,0.8571428571428571,0.046875,0.08888888888888889
0.85,0.8333333333333334,0.0390625,0.07462686567164178
0.86,0.8333333333333334,0.0390625,0.07462686567164178
0.87,0.8,0.03125,0.06015037593984962
0.88,0.8,0.03125,0.06015037593984962
0.89,1.0,0.03125,0.06060606060606061
0.9,1.0,0.0234375,0.04580152671755725
0.91,1.0,0.0234375,0.04580152671755725
0.92,1.0,0.0234375,0.04580152671755725
0.93,1.0,0.015625,0.03076923076923077
0.9400000000000001,1.0,0.0078125,0.015503875968992248
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
